Station:  
Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available

YEAR,STATION,POLLUTANT,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2015,SHAM SHUI PO,Sulphur Dioxide,12,13,9,14,13,12,10,14,9,7,8,8
2015,SHATIN,Fine Suspended Particulates ,42,42,25,23,11,9,14,19,20,26,23,26
2015,SHATIN,Nitrogen Dioxide,54,41,34,41,34,29,39,51,39,50,34,42
2015,SHATIN,Nitrogen Oxides,78,59,48,58,53,46,54,76,54,69,50,62
2015,SHATIN,Ozone,59,63,52,46,34,24,43,37,62,60,60,37
2015,SHATIN,Respirable Suspended Particulates,60,60,38,38,19,14,22,27,27,36,34,35
2015,SHATIN,Sulphur Dioxide,11,9,6,9,5,8,6,9,8,9,5,6
2015,TAI PO,Fine Suspended Particulates ,38,39,26,22,12,9,15,20,21,28,23,27
2015,TAI PO,Nitrogen Dioxide,50,42,34,42,33,27,31,40,36,42,34,37
2015,TAI PO,Nitrogen Oxides,71,57,48,59,52,46,48,65,51,58,47,59
2015,TAI PO,Ozone,58,64,54,51,37,26,45,41,60,61,56,33
2015,TAI PO,Respirable Suspended Particulates,55,58,40,35,22,17,26,31,33,40,35,39
2015,TAI PO,Sulphur Dioxide,7,5,4,6,3,5,6,6,5,6,6,7
2015,TAP MUN,Carbon Monoxide,77,64,59,75,50,54,61,69,69,65,79,N.A.
2015,TAP MUN,Fine Suspended Particulates ,48,44,23,19,12,10,15,20,22,28,19,N.A.
2015,TAP MUN,Nitrogen Dioxide,14,14,11,13,8,7,7,12,9,8,8,N.A.
2015,TAP MUN,Nitrogen Oxides,16,16,13,16,11,10,9,15,11,9,10,N.A.
2015,TAP MUN,Ozone,92,84,72,68,58,42,60,57,88,99,86,N.A.
2015,TAP MUN,Respirable Suspended Particulates,66,59,33,30,24,17,24,28,33,43,35,N.A.
2015,TAP MUN,Sulphur Dioxide,9,8,6,7,6,6,6,7,7,8,8,N.A.
2015,TSUEN WAN,Carbon Monoxide,85,100,94,82,68,57,68,74,81,91,87,91
2015,TSUEN WAN,Fine Suspended Particulates ,38,47,28,21,11,8,14,20,21,28,23,25
2015,TSUEN WAN,Nitrogen Dioxide,76,72,66,63,57,46,55,59,53,58,53,56
2015,TSUEN WAN,Nitrogen Oxides,118,125,119,103,110,90,94,107,82,82,80,95
2015,TSUEN WAN,Ozone,44,42,33,33,18,15,30,29,48,54,44,28
2015,TSUEN WAN,Respirable Suspended Particulates,54,66,41,33,22,16,24,31,32,42,37,38
2015,TSUEN WAN,Sulphur Dioxide,17,16,14,17,18,18,12,13,11,11,9,10
2015,TUEN MUN,Carbon Monoxide,90,87,71,67,57,51,64,64,63,71,75,85
2015,TUEN MUN,Fine Suspended Particulates ,53,56,33,23,11,8,15,25,29,38,29,36
2015,TUEN MUN,Nitrogen Dioxide,81,64,53,48,36,24,34,42,38,56,46,55
2015,TUEN MUN,Nitrogen Oxides,134,109,94,77,66,47,54,72,62,75,68,94
2015,TUEN MUN,Ozone,37,35,29,39,26,24,43,39,57,60,47,25
2015,TUEN MUN,Respirable Suspended Particulates,80,80,48,40,20,14,29,39,38,56,49,54
2015,TUEN MUN,Sulphur Dioxide,17,15,11,10,10,7,8,12,9,10,6,8
2015,TUNG CHUNG,Carbon Monoxide,67,59,57,60,47,38,58,67,46,53,70,80
2015,TUNG CHUNG,Fine Suspended Particulates ,39,44,23,20,10,6,14,17,17,26,22,29
2015,TUNG CHUNG,Nitrogen Dioxide,71,58,40,42,23,13,26,39,34,48,40,46
2015,TUNG CHUNG,Nitrogen Oxides,99,84,59,59,35,21,36,59,45,60,56,77
2015,TUNG CHUNG,Ozone,45,49,43,43,37,33,47,39,60,62,50,27
2015,TUNG CHUNG,Respirable Suspended Particulates,62,69,38,35,19,14,25,27,27,39,36,45
2015,TUNG CHUNG,Sulphur Dioxide,17,14,10,10,7,3,4,5,5,6,5,8
2015,YUEN LONG,Carbon Monoxide,99,79,67,72,60,45,49,43,49,53,48,67
2015,YUEN LONG,Fine Suspended Particulates ,55,54,34,31,13,9,18,23,26,37,31,27
2015,YUEN LONG,Nitrogen Dioxide,71,59,47,45,34,25,33,44,39,49,47,50
2015,YUEN LONG,Nitrogen Oxides,117,93,74,71,62,51,55,76,62,72,72,83
2015,YUEN LONG,Ozone,38,40,33,39,27,23,41,35,53,54,39,22
2015,YUEN LONG,Respirable Suspended Particulates,76,74,47,44,22,17,29,34,35,55,45,48
2015,YUEN LONG,Sulphur Dioxide,10,8,6,9,8,7,7,9,8,9,8,9
2016,CAUSEWAY BAY,Carbon Monoxide,97,103,103,94,70,63,59,82,92,75,63,93
2016,CAUSEWAY BAY,Fine Suspended Particulates ,33,35,37,35,30,21,23,29,33,28,33,43
2016,CAUSEWAY BAY,Nitrogen Dioxide,89,94,99,86,79,74,77,91,106,84,88,105
2016,CAUSEWAY BAY,Nitrogen Oxides,244,286,293,242,188,211,217,241,290,224,219,257
2016,CAUSEWAY BAY,Ozone,18,17,21,17,22,9,9,14,16,15,21,19
2016,CAUSEWAY BAY,Respirable Suspended Particulates,47,52,52,48,42,30,34,41,48,40,47,62
2016,CAUSEWAY BAY,Sulphur Dioxide,8,8,8,6,5,10,11,9,8,6,8,12
2016,CENTRAL,Carbon Monoxide,74,83,85,74,66,61,72,85,92,89,91,106
2016,CENTRAL,Fine Suspended Particulates ,25,27,27,21,17,9,14,16,19,14,20,32
2016,CENTRAL,Nitrogen Dioxide,74,81,84,76,70,63,65,84,88,72,79,102
2016,CENTRAL,Nitrogen Oxides,173,214,208,197,148,171,172,206,204,158,170,207
2016,CENTRAL,Ozone,23,20,28,22,32,12,14,16,23,20,29,30
2016,CENTRAL,Respirable Suspended Particulates,35,43,40,32,28,17,22,25,30,22,33,51
2016,CENTRAL,Sulphur Dioxide,8,9,9,9,8,11,9,7,8,7,6,8
2016,CENTRAL/WESTERN,Fine Suspended Particulates ,25,28,32,24,19,9,11,15,20,18,22,34
2016,CENTRAL/WESTERN,Nitrogen Dioxide,50,50,56,49,32,26,23,41,49,39,46,57
2016,CENTRAL/WESTERN,Nitrogen Oxides,70,74,100,87,42,40,35,60,68,50,58,69
2016,CENTRAL/WESTERN,Ozone,36,36,44,35,49,32,38,45,55,42,49,54
2016,CENTRAL/WESTERN,Respirable Suspended Particulates,34,43,45,35,28,16,19,23,31,27,33,51
2016,CENTRAL/WESTERN,Sulphur Dioxide,6,15,11,10,5,7,8,13,13,9,6,9
2016,EASTERN,Fine Suspended Particulates ,26,26,24,20,16,7,12,16,20,18,23,N.A.
2016,EASTERN,Nitrogen Dioxide,50,52,62,56,43,32,31,45,45,36,44,52
2016,EASTERN,Ozone,37,31,43,48,68,44,41,51,57,50,53,66
2016,EASTERN,Respirable Suspended Particulates,32,42,44,35,28,14,19,23,29,26,33,N.A.
2016,EASTERN,Sulphur Dioxide,4,4,5,9,6,4,5,5,5,3,3,5
2016,KWAI CHUNG,Fine Suspended Particulates ,21,25,26,23,20,14,18,21,24,19,23,34
2016,KWAI CHUNG,Nitrogen Dioxide,58,62,67,63,55,53,53,64,62,47,57,65
2016,KWAI CHUNG,Nitrogen Oxides,113,120,152,153,104,117,120,123,116,81,93,97
2016,KWAI CHUNG,Ozone,35,33,42,35,35,16,20,30,38,34,36,44
2016,KWAI CHUNG,Respirable Suspended Particulates,31,38,37,33,30,24,29,31,37,28,33,49
2016,KWAI CHUNG,Sulphur Dioxide,5,8,11,16,11,15,17,14,14,9,9,11
2016,KWUN TONG,Fine Suspended Particulates ,28,30,27,23,20,13,18,20,23,19,22,34
2016,KWUN TONG,Nitrogen Dioxide,43,50,51,57,52,61,69,64,65,42,46,53
2016,KWUN TONG,Nitrogen Oxides,78,97,94,115,95,130,142,107,112,61,70,74
2016,KWUN TONG,Ozone,44,41,51,37,46,18,20,38,46,45,53,57
2016,KWUN TONG,Respirable Suspended Particulates,44,55,52,35,31,22,27,30,35,26,33,58
2016,KWUN TONG,Sulphur Dioxide,9,7,9,9,6,6,10,11,7,3,6,9
2016,MONG KOK,Carbon Monoxide,108,110,102,91,95,95,65,74,81,78,89,102
2016,MONG KOK,Fine Suspended Particulates ,31,31,37,29,24,13,17,22,26,23,27,38
2016,MONG KOK,Nitrogen Dioxide,80,80,89,82,78,63,71,81,82,67,77,91
2016,MONG KOK,Nitrogen Oxides,171,180,192,188,163,160,181,174,168,136,147,162
2016,MONG KOK,Ozone,18,19,21,15,21,9,9,16,22,19,22,26
2016,MONG KOK,Respirable Suspended Particulates,40,45,49,39,34,20,24,30,36,31,38,53
2016,MONG KOK,Sulphur Dioxide,4,5,6,5,6,6,6,6,5,3,4,6
2016,SHAM SHUI PO,Fine Suspended Particulates ,26,28,32,25,20,11,14,19,23,21,24,34
2016,SHAM SHUI PO,Nitrogen Dioxide,60,59,71,65,51,46,47,61,60,49,57,66
2016,SHAM SHUI PO,Nitrogen Oxides,97,96,133,125,80,77,79,99,89,70,81,89
2016,SHAM SHUI PO,Ozone,31,30,33,25,37,19,21,30,42,34,38,45
2016,SHAM SHUI PO,Respirable Suspended Particulates,37,45,46,35,30,19,24,28,33,30,35,52
2016,SHAM SHUI PO,Sulphur Dioxide,6,8,8,10,8,9,11,13,10,8,10,10
2016,SHATIN,Fine Suspended Particulates ,23,25,27,20,17,10,12,N.A.,21,N.A.,18,29
2016,SHATIN,Nitrogen Dioxide,40,40,47,45,29,29,32,39,36,28,37,46
2016,SHATIN,Nitrogen Oxides,60,61,76,71,40,51,51,57,59,42,53,63
2016,SHATIN,Ozone,42,40,47,39,54,24,27,37,51,45,46,57
2016,SHATIN,Respirable Suspended Particulates,30,38,38,29,26,15,19,N.A.,31,N.A.,28,43
2016,SHATIN,Sulphur Dioxide,6,6,5,6,6,7,10,8,8,5,7,10
2016,TAI PO,Fine Suspended Particulates ,24,25,25,20,17,8,12,16,21,18,23,36
2016,TAI PO,Nitrogen Dioxide,35,33,36,32,24,27,29,33,33,29,34,49
2016,TAI PO,Nitrogen Oxides,60,55,62,51,40,47,47,46,50,42,48,67
2016,TAI PO,Ozone,39,41,49,43,54,27,33,48,53,40,44,50
2016,TAI PO,Respirable Suspended Particulates,32,37,35,28,25,14,19,24,30,26,32,50
2016,TAI PO,Sulphur Dioxide,5,5,5,2,3,4,5,4,5,5,5,7
2016,TAP MUN,Carbon Monoxide,N.A.,N.A.,48,57,65,60,46,64,82,76,75,86
2016,TAP MUN,Fine Suspended Particulates ,N.A.,N.A.,25,19,17,8,13,16,20,19,21,32
2016,TAP MUN,Nitrogen Dioxide,N.A.,N.A.,11,11,8,6,11,11,12,9,10,15
2016,TAP MUN,Nitrogen Oxides,N.A.,N.A.,15,14,10,9,14,14,15,12,13,17
2016,TAP MUN,Ozone,N.A.,N.A.,74,64,75,44,48,64,74,61,72,84
2016,TAP MUN,Respirable Suspended Particulates,N.A.,N.A.,34,26,25,16,23,27,35,31,35,51
2016,TAP MUN,Sulphur Dioxide,N.A.,N.A.,8,9,8,7,8,8,9,9,9,12
2016,TSEUNG KWAN O,Carbon Monoxide,N.A.,N.A.,N.A.,88,95,66,86,78,81,78,91,89
2016,TSEUNG KWAN O,Fine Suspended Particulates ,N.A.,N.A.,N.A.,20,17,7,10,14,17,15,19,29
2016,TSEUNG KWAN O,Nitrogen Dioxide,N.A.,N.A.,N.A.,33,27,29,31,33,33,19,23,29
2016,TSEUNG KWAN O,Nitrogen Oxides,N.A.,N.A.,N.A.,53,41,52,55,53,60,30,31,39
2016,TSEUNG KWAN O,Ozone,N.A.,N.A.,N.A.,50,61,31,35,50,62,57,65,77
2016,TSEUNG KWAN O,Respirable Suspended Particulates,N.A.,N.A.,N.A.,31,26,15,19,23,28,23,29,43
2016,TSEUNG KWAN O,Sulphur Dioxide,N.A.,N.A.,N.A.,5,5,5,7,7,7,8,8,10
2016,TSUEN WAN,Carbon Monoxide,104,91,99,100,89,78,49,56,65,73,89,87
2016,TSUEN WAN,Fine Suspended Particulates ,24,26,27,22,17,11,13,18,22,18,22,33
2016,TSUEN WAN,Nitrogen Dioxide,58,58,66,69,53,48,49,58,54,46,51,67
2016,TSUEN WAN,Nitrogen Oxides,108,109,150,159,87,89,89,98,81,67,71,88
2016,TSUEN WAN,Ozone,31,30,37,24,37,17,21,31,44,34,39,46
2016,TSUEN WAN,Respirable Suspended Particulates,35,40,38,32,27,17,20,26,32,25,32,47
2016,TSUEN WAN,Sulphur Dioxide,9,10,11,13,12,12,13,13,11,9,9,13
2016,TUEN MUN,Carbon Monoxide,91,84,77,70,63,53,58,68,70,69,75,88
2016,TUEN MUN,Fine Suspended Particulates ,34,39,35,23,19,11,16,21,27,25,29,45
2016,TUEN MUN,Nitrogen Dioxide,54,51,68,56,41,38,37,49,53,43,57,68
2016,TUEN MUN,Nitrogen Oxides,107,86,126,97,59,59,56,71,76,63,84,93
2016,TUEN MUN,Ozone,26,30,31,31,44,22,27,36,48,33,35,43
2016,TUEN MUN,Respirable Suspended Particulates,46,54,50,44,30,22,30,38,47,43,47,72
2016,TUEN MUN,Sulphur Dioxide,9,9,9,10,8,10,11,12,17,20,4,6
2016,TUNG CHUNG,Carbon Monoxide,87,92,74,85,58,49,56,67,61,84,83,79
2016,TUNG CHUNG,Fine Suspended Particulates ,24,24,24,16,15,7,10,15,22,19,29,45
2016,TUNG CHUNG,Nitrogen Dioxide,44,39,44,32,24,22,23,36,40,32,41,54
2016,TUNG CHUNG,Nitrogen Oxides,83,68,80,51,34,39,36,55,59,50,62,74
2016,TUNG CHUNG,Ozone,28,31,46,48,60,33,41,41,48,35,33,37
2016,TUNG CHUNG,Respirable Suspended Particulates,39,42,38,25,23,13,16,22,33,26,42,68
2016,TUNG CHUNG,Sulphur Dioxide,10,10,11,9,10,11,12,12,9,8,8,10
2016,YUEN LONG,Carbon Monoxide,85,83,85,73,69,52,60,67,73,71,74,82
