Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

YEAR,STATION,RSP
2018,MONG KOK,36
2018,SHAM SHUI PO,33
2018,SHATIN,32
2018,TAI PO,31
2018,TAP MUN,31
2018,TSEUNG KWAN O,28
2018,TSUEN WAN,30
2018,TUEN MUN,42
2018,TUNG CHUNG,31
2018,YUEN LONG,37
2019,CAUSEWAY BAY,43
2019,CENTRAL,37
2019,CENTRAL/WESTERN,30
2019,EASTERN,31
2019,KWAI CHUNG,29
2019,KWUN TONG,38
2019,MONG KOK,35
2019,SHAM SHUI PO,33
2019,SHATIN,28
2019,TAI PO,31
2019,TAP MUN,31
2019,TSEUNG KWAN O,29
2019,TSUEN WAN,30
2019,TUEN MUN,41
2019,TUNG CHUNG,30
2019,YUEN LONG,37
2020,CAUSEWAY BAY,36
2020,CENTRAL,29
2020,CENTRAL/WESTERN,25
2020,EASTERN,27
2020,KWAI CHUNG,23
2020,KWUN TONG,32
2020,MONG KOK,29
2020,SHAM SHUI PO,28
2020,SHATIN,25
2020,TAI PO,24
2020,TAP MUN,25
2020,TSEUNG KWAN O,24
2020,TSUEN WAN,24
2020,TUEN MUN,34
2020,TUNG CHUNG,25
2020,YUEN LONG,30
2021,CAUSEWAY BAY,39
2021,CENTRAL,30
2021,CENTRAL/WESTERN,26
2021,EASTERN,29
2021,KWAI CHUNG,26
2021,KWUN TONG,31
2021,MONG KOK,30
2021,NORTH,25
2021,SHAM SHUI PO,28
2021,SHATIN,25
2021,SOUTHERN,26
2021,TAI PO,26
2021,TAP MUN,23
2021,TSEUNG KWAN O,24
2021,TSUEN WAN,24
2021,TUEN MUN,36
2021,TUNG CHUNG,26
2021,YUEN LONG,30
2022,CAUSEWAY BAY,34
2022,CENTRAL,27
2022,CENTRAL/WESTERN,22
2022,EASTERN,23
2022,KWAI CHUNG,23
2022,KWUN TONG,24
2022,MONG KOK,26
2022,NORTH,23
2022,SHAM SHUI PO,25
2022,SHATIN,21
2022,SOUTHERN,24
2022,TAI PO,21
2022,TAP MUN,20
2022,TSEUNG KWAN O,22
2022,TSUEN WAN,22
2022,TUEN MUN,32
2022,TUNG CHUNG,23
2022,YUEN LONG,25
